Simulacion,Spot_Futuro
1182,3673.07413743373
1183,3694.776379305915
1184,3701.962829904853
1185,3680.565075995383
1186,3686.242641123209
1187,3703.6095551166923
1188,3716.559107127102
1189,3697.733772993238
1190,3680.3570442574446
1191,3665.6439447298512
1192,3674.2181606323425
1193,3711.19068241647
1194,3655.816932405932
1195,3687.268966550384
1196,3714.2114063679246
1197,3687.4338297533413
1198,3733.131036929946
1199,3693.5875057227345
1200,3740.143870943108
1201,3670.2454680322007
1202,3689.124130716414
1203,3681.9019216253314
1204,3655.308860022398
1205,3662.6911409874774
1206,3733.367302076059
1207,3656.2874805106544
1208,3639.540139096121
1209,3690.2428164625253
1210,3705.8676986477767
1211,3723.0969138246087
1212,3725.397483550206
1213,3672.2892416650843
1214,3652.377487270007
1215,3675.988819568503
1216,3717.4957195852435
1217,3685.950827440257
1218,3692.34545318833
1219,3706.275048429733
1220,3680.501455236039
1221,3683.393670907338
1222,3656.795166222533
1223,3675.850247618736
1224,3662.507768436162
1225,3649.2518607454767
1226,3672.123133474042
1227,3687.6610013592713
1228,3666.810341456346
1229,3692.2255589255105
1230,3672.3724370132927
1231,3662.2674495442166
1232,3762.64563091873
1233,3738.738782079325
1234,3695.546089983418
1235,3684.7799129222267
1236,3678.6046262496648
1237,3646.5366124504876
1238,3676.825202021594
1239,3743.391651155572
1240,3694.983096480118
1241,3725.4438000153496
1242,3668.066167103134
1243,3697.825529473119
1244,3674.5679364726802
1245,3687.1445531837967
1246,3692.862955565667
1247,3707.038650910005
1248,3723.723242630326
1249,3638.9480739321307
1250,3732.447164097246
1251,3705.0876227690696
1252,3698.5830418061146
1253,3683.839560918289
1254,3682.8726262951664
1255,3689.4415999598896
1256,3695.8540408262324
1257,3662.98017614515
1258,3738.9182013490386
1259,3699.989559883493
1260,3673.1334558772483
1261,3718.3653623182468
1262,3651.7241092307568
1263,3699.2817800028724
1264,3627.3596064393237
1265,3700.5943264705147
1266,3628.056808556859
1267,3653.036281999614
1268,3688.063807088661
1269,3649.2080820081574
1270,3676.673353597854
1271,3680.2967628351753
1272,3730.8869899196725
1273,3732.9246611876433
1274,3711.416012428082
1275,3727.4536380740856
1276,3713.9036838477646
1277,3656.1934076545563
1278,3679.81189756189
1279,3699.4896089971517
1280,3723.598982185719
1281,3699.4739811875156
1282,3724.825604552356
1283,3661.2006467092338
1284,3693.8114176960053
1285,3723.669857017399
1286,3684.1239170624467
1287,3680.9103712660744
1288,3643.7805280994967
1289,3646.8645279647817
1290,3697.3737545882022
1291,3681.154164707048
1292,3640.689383255713
